t, X, Y, Z, V_X, V_Y, V_Z
0.000000000000000000e+00,-1.000000000000000000e+00,-3.016759946936282133e-01,0.000000000000000000e+00,1.599999999999999201e-01,-5.999999999999999778e-01,0.000000000000000000e+00
0.000000000000000000e+00,-9.498207923284518461e-01,-3.016759946936282133e-01,0.000000000000000000e+00,1.599999999999999201e-01,-5.999999999999999778e-01,0.000000000000000000e+00
0.000000000000000000e+00,-9.139784974721455457e-01,-3.016759946936282133e-01,0.000000000000000000e+00,1.599999999999999201e-01,-5.999999999999999778e-01,0.000000000000000000e+00
0.000000000000000000e+00,-8.924731068856113225e-01,-2.849162209105027266e-01,0.000000000000000000e+00,1.599999999999999201e-01,-5.999999999999999778e-01,0.000000000000000000e+00
0.000000000000000000e+00,-9.211469496070318064e-01,7.821226877493693552e-02,0.000000000000000000e+00,1.200000000000001066e-01,-5.999999999999999778e-01,0.000000000000000000e+00
0.000000000000000000e+00,-8.781362026158390233e-01,-4.301676114568889764e-01,0.000000000000000000e+00,1.999999999999999833e-01,-5.999999999999999778e-01,0.000000000000000000e+00
0.000000000000000000e+00,-8.853046547507249509e-01,-4.636871590231402274e-01,0.000000000000000000e+00,1.999999999999999833e-01,-5.999999999999999778e-01,0.000000000000000000e+00
0.000000000000000000e+00,-6.917562761994199283e-01,-4.134078243542899100e-01,0.000000000000000000e+00,1.599999999999999201e-01,-5.999999999999999778e-01,0.000000000000000000e+00
0.000000000000000000e+00,-6.272401386216928110e-01,6.145250831128488966e-02,0.000000000000000000e+00,1.200000000000001066e-01,-5.999999999999999778e-01,0.000000000000000000e+00
0.000000000000000000e+00,-6.344085907565788496e-01,-4.189944378144543902e-01,0.000000000000000000e+00,1.599999999999999201e-01,-5.999999999999999778e-01,0.000000000000000000e+00
0.000000000000000000e+00,-6.702508856128854831e-01,-4.692737458443576037e-01,0.000000000000000000e+00,1.999999999999999833e-01,-5.999999999999999778e-01,0.000000000000000000e+00
0.000000000000000000e+00,-5.770609053137379929e-01,-3.743016899668214492e-01,0.000000000000000000e+00,-1.199999999999999956e-01,-1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-6.487454950263511488e-01,1.508379773676036262e-01,0.000000000000000000e+00,1.200000000000001066e-01,-5.999999999999999778e-01,0.000000000000000000e+00
0.000000000000000000e+00,-5.842293916305001389e-01,1.508379773676036262e-01,0.000000000000000000e+00,1.200000000000001066e-01,-1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,-5.197132198708970252e-01,1.005586426987534754e-01,0.000000000000000000e+00,-4.000000000000004247e-02,-1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,-4.480286301582839248e-01,-3.798882767880388256e-01,0.000000000000000000e+00,1.599999999999999201e-01,-1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,-6.487454950263511488e-01,2.905027544538253959e-01,0.000000000000000000e+00,8.000000000000005718e-02,-5.999999999999999778e-01,0.000000000000000000e+00
0.000000000000000000e+00,-4.121863353019771803e-01,7.821226877493693552e-02,0.000000000000000000e+00,1.200000000000001066e-01,-1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,-4.623656027918081057e-01,2.569832335265216372e-01,0.000000000000000000e+00,8.000000000000005718e-02,-1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,-2.759856421935130144e-01,-3.463687292217876301e-01,0.000000000000000000e+00,1.599999999999999201e-01,-1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,-3.189964233665816828e-01,-4.860335329469567256e-01,0.000000000000000000e+00,1.599999999999999201e-01,-1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,-2.974910327800474041e-01,2.122904856788887795e-01,0.000000000000000000e+00,1.200000000000001066e-01,-1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,-4.695340207448183145e-01,3.910614237915261415e-01,0.000000000000000000e+00,8.000000000000005718e-02,-1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.541218533548210090e-01,1.675976046365201810e-02,0.000000000000000000e+00,1.200000000000001066e-01,-1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,-2.616487379237407707e-01,2.458100332451398362e-01,0.000000000000000000e+00,8.000000000000005718e-02,-1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.684587576245932805e-01,2.234636593213232825e-01,0.000000000000000000e+00,1.200000000000001066e-01,-1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,-9.677416791198001356e-02,1.173184298013525556e-01,0.000000000000000000e+00,1.200000000000001066e-01,1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,-4.659496878590130287e-02,-4.189944378144543902e-01,0.000000000000000000e+00,1.599999999999999201e-01,1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,-3.584187612832523406e-03,-1.331947363514274395e-08,0.000000000000000000e+00,1.200000000000001066e-01,1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,-1.971325661641376292e-01,6.033519361093619970e-01,0.000000000000000000e+00,8.000000000000005718e-02,-1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.616487806510858771e-01,1.117317364243452897e-02,0.000000000000000000e+00,1.200000000000001066e-01,1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.612903823989282615e-01,-6.201117232119612854e-01,0.000000000000000000e+00,1.999999999999999833e-01,1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.903225891906302536e-01,-3.240223552979711874e-01,0.000000000000000000e+00,9.599999999999999645e-01,-1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.903225891906302536e-01,-3.519553160430050065e-01,0.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.473118080175616129e-01,-4.916201197681739909e-01,0.000000000000000000e+00,1.599999999999999201e-01,1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.189963977301746301e-01,-3.407821424005703648e-01,0.000000000000000000e+00,9.599999999999999645e-01,-1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.473118080175616129e-01,-5.810055888244927136e-01,0.000000000000000000e+00,1.999999999999999833e-01,1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.476703429972233805e-01,8.938546905631872264e-02,0.000000000000000000e+00,1.200000000000001066e-01,6.000000000000000888e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.333333703636991441e-01,-4.860335329469567256e-01,0.000000000000000000e+00,1.599999999999999201e-01,6.000000000000000888e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.193549327098364810e-01,-1.843575565676046635e-01,0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.620071789032435206e-01,1.843575249338549049e-01,0.000000000000000000e+00,1.200000000000001066e-01,6.000000000000000888e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.265232822990944750e-01,-4.022346507118553238e-01,0.000000000000000000e+00,1.599999999999999201e-01,6.000000000000000888e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.050179600763121890e-01,-5.083799068707731683e-01,0.000000000000000000e+00,1.599999999999999201e-01,6.000000000000000888e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.691756652200056665e-01,3.016759813741547447e-01,0.000000000000000000e+00,8.000000000000005718e-02,6.000000000000000888e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.982078720117077975e-01,-2.346368862416522982e-01,0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.476703429972233805e-01,4.301675581789945468e-01,0.000000000000000000e+00,8.000000000000005718e-02,6.000000000000000888e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.193549327098364810e-01,3.407821157616230945e-01,0.000000000000000000e+00,8.000000000000005718e-02,6.000000000000000888e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.412186531847763549e-01,4.469272120868583026e-02,0.000000000000000000e+00,1.200000000000001066e-01,6.000000000000000888e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.767025497889256225e-01,-6.033519627483091563e-01,0.000000000000000000e+00,2.399999999999999911e-01,6.000000000000000888e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.767025497889256225e-01,-6.089385495695265327e-01,0.000000000000000000e+00,1.999999999999999833e-01,6.000000000000000888e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.698924617243208424e-01,-1.452514121905310596e-01,0.000000000000000000e+00,1.200000000000001066e-01,6.000000000000000888e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.620071789032435206e-01,5.810055888244927136e-01,0.000000000000000000e+00,4.000000000000004247e-02,6.000000000000000888e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.555556258183007579e-01,-6.145251630296910683e-01,0.000000000000000000e+00,1.999999999999999833e-01,6.000000000000000888e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.272402155309140248e-01,2.290502727814877904e-01,0.000000000000000000e+00,8.000000000000005718e-02,6.000000000000000888e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.075271665693966483e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999833e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.562724223226160447e-01,1.117317364243452897e-02,0.000000000000000000e+00,1.200000000000001066e-01,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.204301274663094112e-01,-6.368715103145603518e-01,0.000000000000000000e+00,1.999999999999999833e-01,6.000000000000000888e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.637993068915356121e-01,-1.117318596294772787e-01,0.000000000000000000e+00,1.200000000000001066e-01,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.924731154310803216e-01,-6.703910845197587065e-01,0.000000000000000000e+00,1.999999999999999833e-01,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,7.132616411495472653e-01,-1.000000000000000000e+00,0.000000000000000000e+00,2.399999999999999911e-01,6.000000000000000888e-01,0.000000000000000000e+00
